,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
6,7,0.095665,17.420005,2049.997923,804651,2049.999558,2049.996295,4,16372,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
12,13,0.057399,36.417851,2034.030174,228275,2034.031809,2034.028545,10,14780,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
13,14,0.038266,13.722249,2033.976156,247609,2033.97779,2033.9745269999999,10,14780,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
14,15,0.105231,12.462642,2033.971906,249130,2033.973541,2033.970277,10,14780,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
16,17,-0.009566,10.24697,2033.328606,479376,2033.3302410000001,2033.326977,10,14780,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
38,39,0.095665,10.150467,1986.030619,630769,1986.032254,1986.0289899999998,26,13185,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
39,40,0.105231,13.063772,1985.97239,651610,1985.974025,1985.970761,26,13185,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
41,42,0.009566,31.083349,1983.335695,546744,1983.337329,1983.3340660000001,27,13211,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
45,46,-0.038266,11.853837,1975.450076,223389,1975.45171,1975.448447,30,13371,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
46,47,0.019133,46.146481,1975.001677,383877,1975.003312,1975.0000489999998,30,13371,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
62,63,-0.009566,28.550797,1937.498073,175452,1937.499707,1937.496444,43,14086,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
70,71,0.009566,61.107984,1916.669619,290214,1916.6712530000002,1916.66799,50,13429,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
77,78,-0.066965,51.202472,1900.000967,1013277,1900.0026010000001,1899.9993379999999,55,13204,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
81,82,0.028699,10.540692,1889.977389,406551,1889.9790239999998,1889.975761,59,13174,blc71_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
93,7,-0.019133,17.984237,2049.99796,804638,2049.9995940000003,2049.996331,4,16417,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
99,13,0.009566,32.807046,2034.0302,228266,2034.031834,2034.028571,10,14853,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
100,14,0.019133,14.460752,2033.976173,247603,2033.977807,2033.9745440000002,10,14853,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
101,15,0.009566,11.740521,2033.971956,249112,2033.973591,2033.970328,10,14853,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
124,38,0.009566,11.516755,1985.97244,651592,1985.974075,1985.970811,26,13178,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
130,44,0.009566,50.261881,1975.001675,383878,1975.003309,1975.000046,30,13334,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
146,60,-0.066965,28.538831,1937.498056,175458,1937.4996899999999,1937.496427,43,13927,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
161,75,0.038266,27.921671,1900.000989,1013269,1900.002623,1899.9993600000003,55,13238,blc71_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
177,7,-0.095665,13.883307,2049.998002,804623,2049.999636,2049.996373,4,17343,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
183,13,0.009566,36.707772,2034.030208,228263,2034.031842,2034.0285789999998,10,14770,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
184,14,0.066965,15.077731,2033.976181,247600,2033.977815,2033.974552,10,14770,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
214,44,-0.009566,44.874792,1975.001675,383878,1975.003309,1975.000046,30,13332,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
229,59,0.009566,38.04969,1937.504177,173267,1937.505812,1937.5025489999998,43,13917,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
230,60,-0.019133,32.27411,1937.498045,175462,1937.499679,1937.496416,43,13917,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
245,75,0.086098,35.058488,1900.000961,1013279,1900.002596,1899.999332,55,13214,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
249,79,0.057399,11.074698,1889.977415,406542,1889.9790489999998,1889.975786,59,13170,blc71_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m37.68s,41d13m30.72s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
